DATE,GDP,Year,Quarter,GDP Growth Rate
1947-04-01,245.968,1947,2,1.1531312200819155
1947-07-01,249.585,1947,3,1.4705164899499135
1947-10-01,259.745,1947,4,4.070757457379237
1948-01-01,265.742,1948,1,2.3088028643477365
1948-04-01,272.567,1948,2,2.568280512677701
1948-07-01,279.196,1948,3,2.432062575440175
1948-10-01,280.366,1948,4,0.41906044499202544
1949-01-01,275.034,1949,1,-1.901799790274139
1949-04-01,271.351,1949,2,-1.3391071649323294
1949-07-01,272.889,1949,3,0.5667935625813136
1949-10-01,270.627,1949,4,-0.8289084572848271
1950-01-01,280.828,1950,1,3.769394775835355
1950-04-01,290.383,1950,2,3.402438503283145
1950-07-01,308.153,1950,3,6.119504240950757
1950-10-01,319.945,1950,4,3.826670517567554
1951-01-01,336.0,1951,1,5.018049977339856
1951-04-01,344.09,1951,2,2.407738095238088
1951-07-01,351.385,1951,3,2.1200848615188006
1951-10-01,356.178,1951,4,1.3640309062709077
1952-01-01,359.82,1952,1,1.0225224466418492
1952-04-01,361.03,1952,2,0.3362792507364709
1952-07-01,367.701,1952,3,1.8477688834723116
1952-10-01,380.812,1952,4,3.565668845067038
1953-01-01,387.98,1953,1,1.8822936252008926
1953-04-01,391.749,1953,2,0.9714418268983005
1953-07-01,391.171,1953,3,-0.1475434525678554
1953-10-01,385.97,1953,4,-1.3295975417400463
1954-01-01,385.345,1954,1,-0.1619296836541717
1954-04-01,386.121,1954,2,0.20137798596062684
1954-07-01,390.996,1954,3,1.262557592050162
1954-10-01,399.734,1954,4,2.2348054711557097
1955-01-01,413.073,1955,1,3.3369690844411437
1955-04-01,421.532,1955,2,2.0478220556657156
1955-07-01,430.221,1955,3,2.061290720514708
1955-10-01,437.092,1955,4,1.5970861487468069
1956-01-01,439.746,1956,1,0.6071948239729785
1956-04-01,446.01,1956,2,1.4244586647746749
1956-07-01,451.191,1956,3,1.1616331472388497
1956-10-01,460.463,1956,4,2.0550055298088843
1957-01-01,469.779,1957,1,2.0231810156299046
1957-04-01,472.025,1957,2,0.4780971478077989
1957-07-01,479.49,1957,3,1.5814840315661272
1957-10-01,474.864,1957,4,-0.9647750735156224
1958-01-01,467.54,1958,1,-1.5423363320866468
1958-04-01,471.978,1958,2,0.9492235958420636
1958-07-01,485.841,1958,3,2.9372131751903785
1958-10-01,499.555,1958,4,2.8227341866989386
1959-01-01,510.33,1959,1,2.156919658496048
1959-04-01,522.653,1959,2,2.414712049066292
1959-07-01,525.034,1959,3,0.45556038136200794
1959-10-01,528.6,1959,4,0.6791941093338805
1960-01-01,542.648,1960,1,2.6575860764282977
1960-04-01,541.08,1960,2,-0.2889534283734507
1960-07-01,545.604,1960,3,0.836105566644485
1960-10-01,540.197,1960,4,-0.9910117961012044
1961-01-01,545.018,1961,1,0.8924521979944311
1961-04-01,555.545,1961,2,1.931495840504338
1961-07-01,567.664,1961,3,2.1814614477675187
1961-10-01,580.612,1961,4,2.2809267453986815
1962-01-01,594.013,1962,1,2.3080818171171247
1962-04-01,600.366,1962,2,1.0695052128488758
1962-07-01,609.027,1962,3,1.442620001798911
1962-10-01,612.28,1962,4,0.5341306707255855
1963-01-01,621.672,1963,1,1.5339387208466837
1963-04-01,629.752,1963,2,1.2997207530659027
1963-07-01,644.444,1963,3,2.3329818722290785
1963-10-01,653.938,1963,4,1.473207912557184
1964-01-01,669.822,1964,1,2.428976447308462
1964-04-01,678.674,1964,2,1.3215451269143141
1964-07-01,692.031,1964,3,1.9681025057685986
1964-10-01,697.319,1964,4,0.7641276185604395
1965-01-01,717.79,1965,1,2.935672195939021
1965-04-01,730.191,1965,2,1.7276640800234055
1965-07-01,749.323,1965,3,2.620136375277138
1965-10-01,771.857,1965,4,3.007247875749175
1966-01-01,795.734,1966,1,3.093448656940345
1966-04-01,804.981,1966,2,1.16207174759404
1966-07-01,819.638,1966,3,1.8207883167428829
1966-10-01,833.302,1966,4,1.6670774171036573
1967-01-01,844.17,1967,1,1.3042090382598293
1967-04-01,848.983,1967,2,0.57014582370849
1967-07-01,865.233,1967,3,1.914054816174171
1967-10-01,881.439,1967,4,1.8730214866978123
1968-01-01,909.387,1968,1,3.1707242361638244
1968-04-01,934.344,1968,2,2.7443761566857905
1968-07-01,950.825,1968,3,1.763911364550963
1968-10-01,968.03,1968,4,1.8094812399757965
1969-01-01,993.337,1969,1,2.6142784831048704
1969-04-01,1009.02,1969,2,1.5788196754978445
1969-07-01,1029.956,1969,3,2.0748845414362282
1969-10-01,1038.147,1969,4,0.7952766914314902
1970-01-01,1051.2,1970,1,1.2573363887773192
1970-04-01,1067.375,1970,2,1.5387176560121674
1970-07-01,1086.059,1970,3,1.7504625834406706
1970-10-01,1088.608,1970,4,0.23470179796860613
1971-01-01,1135.156,1971,1,4.275919339192802
1971-04-01,1156.271,1971,2,1.8600967620309383
1971-07-01,1177.675,1971,3,1.8511231363581793
1971-10-01,1190.297,1971,4,1.0717727726240245
1972-01-01,1230.609,1972,1,3.3867177687585404
1972-04-01,1266.369,1972,2,2.9058783090323503
1972-07-01,1290.566,1972,3,1.9107384972310681
1972-10-01,1328.904,1972,4,2.9706345897846376
1973-01-01,1377.49,1973,1,3.6560955494151504
1973-04-01,1413.887,1973,2,2.6422696353512576
1973-07-01,1433.838,1973,3,1.4110745766811705
1973-10-01,1476.289,1973,4,2.960655248361399
1974-01-01,1491.209,1974,1,1.0106422252011749
1974-04-01,1530.056,1974,2,2.605067431862329
1974-07-01,1560.026,1974,3,1.9587518365340895
1974-10-01,1599.679,1974,4,2.5418166107487927
1975-01-01,1616.116,1975,1,1.027518645928338
1975-04-01,1651.853,1975,2,2.2112892886401836
1975-07-01,1709.82,1975,3,3.5092105653468986
1975-10-01,1761.831,1975,4,3.0418991472786594
1976-01-01,1820.487,1976,1,3.3292637034993744
1976-04-01,1852.332,1976,2,1.7492572042535848
1976-07-01,1886.558,1976,3,1.8477249218822545
1976-10-01,1934.273,1976,4,2.529209279545075
1977-01-01,1988.648,1977,1,2.8111336920900065
1977-04-01,2055.909,1977,2,3.382247637590985
1977-07-01,2118.473,1977,3,3.043130800049987
1977-10-01,2164.27,1977,4,2.161792951810093
1978-01-01,2202.76,1978,1,1.778428754268191
1978-04-01,2331.633,1978,2,5.850523888212944
1978-07-01,2395.053,1978,3,2.719982089805728
1978-10-01,2476.949,1978,4,3.4193815335193056
1979-01-01,2526.61,1979,1,2.004926221734893
1979-04-01,2591.247,1979,2,2.5582499871368958
1979-07-01,2667.565,1979,3,2.94522289847321
1979-10-01,2723.883,1979,4,2.111213784856214
1980-01-01,2789.842,1980,1,2.421506356917691
1980-04-01,2797.352,1980,2,0.26919087174110956
1980-07-01,2856.483,1980,3,2.1138204988146114
1980-10-01,2985.557,1980,4,4.518633578424924
1981-01-01,3124.206,1981,1,4.643991054265606
1981-04-01,3162.532,1981,2,1.2267436910370133
1981-07-01,3260.609,1981,3,3.101217631948061
1981-10-01,3280.818,1981,4,0.6197921921947902
1982-01-01,3274.302,1982,1,-0.19860900543705595
1982-04-01,3331.972,1982,2,1.7612914141700964
1982-07-01,3366.322,1982,3,1.030921028147902
1982-10-01,3402.561,1982,4,1.0765161502672704
1983-01-01,3473.413,1983,1,2.0823138806328467
1983-04-01,3578.848,1983,2,3.035486997946979
1983-07-01,3689.179,1983,3,3.0828635359758216
1983-10-01,3794.706,1983,4,2.8604467281202695
1984-01-01,3908.054,1984,1,2.9870034727327965
1984-04-01,4009.601,1984,2,2.598403195042853
1984-07-01,4084.25,1984,3,1.861756319394381
1984-10-01,4148.551,1984,4,1.574364938483197
1985-01-01,4230.168,1985,1,1.967361616140173
1985-04-01,4294.887,1985,2,1.5299392364558573
1985-07-01,4386.773,1985,3,2.139427649668102
1985-10-01,4444.094,1985,4,1.306678052408916
1986-01-01,4507.894,1986,1,1.4356131981006826
1986-04-01,4545.34,1986,2,0.8306761427841813
1986-07-01,4607.669,1986,3,1.3712725560684147
1986-10-01,4657.627,1986,4,1.0842358685053233
1987-01-01,4722.156,1987,1,1.38544799744591
1987-04-01,4806.16,1987,2,1.7789331822159138
1987-07-01,4884.555,1987,3,1.6311358756262884
1987-10-01,5007.994,1987,4,2.5271288786798296
1988-01-01,5073.372,1988,1,1.3054728100712731
1988-04-01,5190.036,1988,2,2.2995356934204736
1988-07-01,5282.835,1988,3,1.7880222796142542
1988-10-01,5399.509,1988,4,2.2085490082503156
1989-01-01,5511.253,1989,1,2.069521506492533
1989-04-01,5612.463,1989,2,1.8364244936677654
1989-07-01,5695.365,1989,3,1.4771055060853078
1989-10-01,5747.237,1989,4,0.9107756921637122
1990-01-01,5872.701,1990,1,2.183031602838015
1990-04-01,5960.028,1990,2,1.4869989124254746
1990-07-01,6015.116,1990,3,0.9242909597068971
1990-10-01,6004.733,1990,4,-0.17261512496183906
1991-01-01,6035.178,1991,1,0.5070167149813232
1991-04-01,6126.862,1991,2,1.5191598325683175
1991-07-01,6205.937,1991,3,1.2906280572338558
1991-10-01,6264.54,1991,4,0.9443054288176045
1992-01-01,6363.102,1992,1,1.573331800898381
1992-04-01,6470.763,1992,2,1.6919577903984573
1992-07-01,6566.641,1992,3,1.4817108894267905
1992-10-01,6680.803,1992,4,1.7385144094218097
1993-01-01,6729.459,1993,1,0.72829568541386
1993-04-01,6808.939,1993,2,1.1810756258415545
1993-07-01,6882.098,1993,3,1.0744552124787754
1993-10-01,7013.738,1993,4,1.9127888036468033
1994-01-01,7115.652,1994,1,1.4530625466762537
1994-04-01,7246.931,1994,2,1.8449328325780945
1994-07-01,7331.075,1994,3,1.1610984015164583
1994-10-01,7455.288,1994,4,1.6943354146561118
1995-01-01,7522.289,1995,1,0.8987043827146657
1995-04-01,7580.997,1995,2,0.7804539283188916
1995-07-01,7683.125,1995,3,1.347157900207585
1995-10-01,7772.586,1995,4,1.1643829821849971
1996-01-01,7868.468,1996,1,1.2335920117191312
1996-04-01,8032.84,1996,2,2.088996231540885
1996-07-01,8131.408,1996,3,1.2270629067677286
1996-10-01,8259.771,1996,4,1.57860729654693
1997-01-01,8362.655,1997,1,1.2456035403402899
1997-04-01,8518.825,1997,2,1.867469123143306
1997-07-01,8662.823,1997,3,1.6903504884769882
1997-10-01,8765.907,1997,4,1.1899585158325232
1998-01-01,8866.48,1998,1,1.1473199521738087
1998-04-01,8969.699,1998,2,1.164148568541301
1998-07-01,9121.097,1998,3,1.6878827260535578
1998-10-01,9293.991,1998,4,1.8955395387199703
1999-01-01,9411.682,1999,1,1.2663128251361622
1999-04-01,9526.21,1999,2,1.2168706932512041
1999-07-01,9686.626,1999,3,1.683943562025192
1999-10-01,9900.169,1999,4,2.204513728516
2000-01-01,10002.179,2000,1,1.0303864509787708
2000-04-01,10247.72,2000,2,2.4548750827194654
2000-07-01,10318.165,2000,3,0.6874212019844617
2000-10-01,10435.744,2000,4,1.1395340159805478
2001-01-01,10470.231,2001,1,0.33046996936680895
2001-04-01,10599.0,2001,2,1.2298582524110424
2001-07-01,10598.02,2001,3,-0.00924615529767081
2001-10-01,10660.465,2001,4,0.5892138342822539
2002-01-01,10783.5,2002,1,1.1541241399882551
2002-04-01,10887.46,2002,2,0.9640654703945817
2002-07-01,10984.04,2002,3,0.8870755897151472
2002-10-01,11061.433,2002,4,0.7045950306080462
2003-01-01,11174.129,2003,1,1.0188191710784666
2003-04-01,11312.766,2003,2,1.2406962547147904
2003-07-01,11566.669,2003,3,2.244393634589459
2003-10-01,11772.234,2003,4,1.777218661656188
2004-01-01,11923.447,2004,1,1.2844885686098317
2004-04-01,12112.815,2004,2,1.5881984463050003
2004-07-01,12305.307,2004,3,1.5891599103924348
2004-10-01,12527.214,2004,4,1.8033438743137342
2005-01-01,12767.286,2005,1,1.916403759048113
2005-04-01,12922.656,2005,2,1.2169383532255829
2005-07-01,13142.642,2005,3,1.702328066304637
2005-10-01,13324.204,2005,4,1.3814726141060607
2006-01-01,13599.16,2006,1,2.0635829352357637
2006-04-01,13753.424,2006,2,1.1343641813170935
2006-07-01,13870.188,2006,3,0.848981315489139
2006-10-01,14039.56,2006,4,1.2211225976172635
2007-01-01,14215.651,2007,1,1.2542487086489862
2007-04-01,14402.082,2007,2,1.3114489093746018
2007-07-01,14564.117,2007,3,1.125080387682842
2007-10-01,14715.058,2007,4,1.0363896417475926
2008-01-01,14706.538,2008,1,-0.05789987372118999
2008-04-01,14865.701,2008,2,1.0822601485135364
2008-07-01,14898.999,2008,3,0.22399212791917034
2008-10-01,14608.209,2008,4,-1.9517418586308954
2009-01-01,14430.902,2009,1,-1.2137490639680837
2009-04-01,14381.236,2009,2,-0.3441642109412113
2009-07-01,14448.882,2009,3,0.47037681601218573
2009-10-01,14651.249,2009,4,1.400572030417302
2010-01-01,14764.61,2010,1,0.7737292568026133
2010-04-01,14980.193,2010,2,1.4601333865235766
2010-07-01,15141.607,2010,3,1.077516157502112
2010-10-01,15309.474,2010,4,1.108647186523859
2011-01-01,15351.448,2011,1,0.274170098855131
2011-04-01,15557.539,2011,2,1.3424857381531652
2011-07-01,15647.68,2011,3,0.5794039789969396
2011-10-01,15842.259,2011,4,1.2435006339597932
2012-01-01,16068.805,2012,1,1.4300107074376234
2012-04-01,16207.115,2012,2,0.8607360659364405
2012-07-01,16319.541,2012,3,0.6936829904643727
2012-10-01,16420.419,2012,4,0.6181423852545942
2013-01-01,16648.189,2013,1,1.3871144213798425
2013-04-01,16728.687,2013,2,0.48352406378857626
2013-07-01,16953.838,2013,3,1.3458976188627236
2013-10-01,17192.019,2013,4,1.4048795322923358
2014-01-01,17197.738,2014,1,0.03326543554891259
2014-04-01,17518.508,2014,2,1.8651871542641363
2014-07-01,17804.228,2014,3,1.6309608101328976
2014-10-01,17912.079,2014,4,0.605760609221595
2015-01-01,18063.529,2015,1,0.8455188255924728
2015-04-01,18279.784,2015,2,1.1971913129488865
2015-07-01,18401.626,2015,3,0.6665396046255267
2015-10-01,18435.137,2015,4,0.1821089071150528
2016-01-01,18525.933,2016,1,0.49251600354258684
2016-04-01,18711.702,2016,2,1.002751116502476
2016-07-01,18892.639,2016,3,0.9669724325451323
2016-10-01,19089.379,2016,4,1.0413579595735856
2017-01-01,19280.084,2017,1,0.9990110207356517
2017-04-01,19438.643,2017,2,0.8223978692209144
2017-07-01,19692.595,2017,3,1.3064286431928362
2017-10-01,20037.088,2017,4,1.7493529928381601
2018-01-01,20328.553,2018,1,1.4546275386922547
2018-04-01,20580.912,2018,2,1.241401687567234
2018-07-01,20798.73,2018,3,1.0583496008340187
2018-10-01,20917.867,2018,4,0.5728090128579888
2019-01-01,21111.6,2019,1,0.9261603967555487
2019-04-01,21397.938,2019,2,1.3563064855340201
2019-07-01,21717.171,2019,3,1.4918867416103376
2019-10-01,21933.217,2019,4,0.994816497968376
2020-01-01,21727.657,2020,1,-0.937208618325347
2020-04-01,19935.444,2020,2,-8.248533194352248
2020-07-01,21684.551,2020,3,8.77385524997587
2020-10-01,22068.767,2020,4,1.7718420824115677
2021-01-01,22656.793,2021,1,2.664516780661108
2021-04-01,23368.861,2021,2,3.142845503333147
2021-07-01,23921.991,2021,3,2.3669531861223447
2021-10-01,24777.038,2021,4,3.5743136932038677
2022-01-01,25215.491,2022,1,1.7695940894952855
2022-04-01,25805.791,2022,2,2.3410212396815844
2022-07-01,26272.011,2022,3,1.806648747949624
2022-10-01,26734.277,2022,4,1.7595379356380336
2023-01-01,27164.359,2023,1,1.6087287492382973
2023-04-01,27453.815,2023,2,1.0655727234351486
2023-07-01,27967.697,2023,3,1.8718054303199727
2023-10-01,28296.967,2023,4,1.1773225374974494
2024-01-01,28624.069,2024,1,1.1559613438429706
2024-04-01,29016.714,2024,2,1.3717302036967638
2024-07-01,29354.321,2024,3,1.1634914966594856
